rep,method,dataset,model,r2,inf_mean,sens_mean,suff_mean,spars_mean
0,KernelExplainer,linear,mlp,0.9964433337500779,0.16241856853605982,1.6530622378287418,0.9409084878329654,0.0
0,Shapley_MC,linear,mlp,0.9964433337500779,0.1828309737237504,1.6552573805609014,0.9369246929873764,0.0033333333333333327
0,Banzhaf_MC,linear,mlp,0.9964433337500779,0.18020311088015203,1.6530622378287418,0.9409084878329654,0.023333333333333327
0,CEqL,linear,mlp,0.9964433337500779,0.0791383582683553,1.6516554998941002,0.9273640793162214,0.8066666666666666
0,CCRA,linear,mlp,0.9964433337500779,0.10319812540190819,1.4793258845019217,0.8892663058680943,0.0
0,Gately,linear,mlp,0.9964433337500779,0.1840403019975301,1.6463765985890118,0.9406915149420495,0.0
0,Shapley_Shubik,linear,mlp,0.9964433337500779,0.07526011880425885,1.784529483783618,0.8939242131445397,0.5866666666666667
0,Nucleolus,linear,mlp,0.9964433337500779,0.176010337889201,1.923229312926257,0.8652698717749189,0.7899999999999999
1,KernelExplainer,linear,mlp,0.9969079113085829,0.17158079015642339,2.3777662266745474,0.9492422857266615,0.006666666666666665
1,Shapley_MC,linear,mlp,0.9969079113085829,0.17914526881560114,2.3770427801201204,0.9472793412404646,0.0
1,Banzhaf_MC,linear,mlp,0.9969079113085829,0.18954799422090837,2.374828288413811,0.9484719653575598,0.009999999999999998
1,CEqL,linear,mlp,0.9969079113085829,0.09029031793363716,2.3772422275988143,0.9492422857266615,0.8499999999999999
1,CCRA,linear,mlp,0.9969079113085829,0.09342910011173951,2.367994876480978,0.8588771477282139,0.0
1,Gately,linear,mlp,0.9969079113085829,0.17831545953626035,2.3716523476063696,0.9399432343200123,0.0033333333333333327
1,Shapley_Shubik,linear,mlp,0.9969079113085829,0.06771624343516121,2.6526569420673245,0.9445998414945397,0.6533333333333335
1,Nucleolus,linear,mlp,0.9969079113085829,0.14917644839484728,2.2571269336418314,0.8878318944026781,0.7833333333333332
2,KernelExplainer,linear,mlp,0.9967414002605932,0.13174741756019445,2.0471714017612435,0.9213665761211159,0.0
2,Shapley_MC,linear,mlp,0.9967414002605932,0.1108958406199259,2.0548116234256364,0.9218671532592705,0.0
2,Banzhaf_MC,linear,mlp,0.9967414002605932,0.11717908131792208,2.0548116234256364,0.9218671532592705,0.0033333333333333327
2,CEqL,linear,mlp,0.9967414002605932,0.08951843035450022,1.9149024342525331,0.885358373685253,0.8133333333333332
2,CCRA,linear,mlp,0.9967414002605932,0.07702906956298124,1.6751976219562608,0.7707287874584348,0.0
2,Gately,linear,mlp,0.9967414002605932,0.10291986572923326,2.0858816136238247,0.9298894595675392,0.0
2,Shapley_Shubik,linear,mlp,0.9967414002605932,0.07035505757863675,2.0306971247242496,0.8232132043928291,0.6133333333333333
2,Nucleolus,linear,mlp,0.9967414002605932,0.114912556654041,1.9378645792734013,0.8910432057770947,0.7999999999999999
0,KernelExplainer,nonlinear,mlp,0.9627470248933646,0.06964776851834424,1.402868755520925,0.9122391398567549,0.0
0,Shapley_MC,nonlinear,mlp,0.9627470248933646,0.08015250423897134,1.3446503179582021,0.9396096698184487,0.0
0,Banzhaf_MC,nonlinear,mlp,0.9627470248933646,0.06993146205384203,1.3575680027849912,0.9457709647622841,0.0
0,CEqL,nonlinear,mlp,0.9627470248933646,0.07199687205160665,1.3859768048349552,0.9166892725354212,0.75
0,CCRA,nonlinear,mlp,0.9627470248933646,0.07307013421145456,1.376175607020905,0.8902562183095112,0.004166666666666667
0,Gately,nonlinear,mlp,0.9627470248933646,0.07463709185735054,1.3703676836065595,0.9222510956069438,0.004166666666666667
0,Shapley_Shubik,nonlinear,mlp,0.9627470248933646,0.07429421516705469,1.4255879134239755,0.8810525082868355,0.5458333333333333
0,Nucleolus,nonlinear,mlp,0.9627470248933646,0.07804870824706914,1.4953505151152588,0.9254961280544828,0.7208333333333333
1,KernelExplainer,nonlinear,mlp,0.960480926480544,0.13693872616784394,1.6078867604153717,0.9205313389418209,0.0
1,Shapley_MC,nonlinear,mlp,0.960480926480544,0.17048844362244114,1.5944408958127072,0.924066047168801,0.0
1,Banzhaf_MC,nonlinear,mlp,0.960480926480544,0.16220717819975755,1.6046665287104298,0.9433057921770661,0.0
1,CEqL,nonlinear,mlp,0.960480926480544,0.16576711354011203,1.6487554836268252,0.9115593745585167,0.6833333333333333
1,CCRA,nonlinear,mlp,0.960480926480544,0.15073370284066948,1.6530998051607722,0.8854937501000311,0.0
1,Gately,nonlinear,mlp,0.960480926480544,0.15496753994979734,1.6176756022589402,0.9344487577677227,0.0
1,Shapley_Shubik,nonlinear,mlp,0.960480926480544,0.0924036584910956,1.6515364283604006,0.795884906593632,0.4791666666666667
1,Nucleolus,nonlinear,mlp,0.960480926480544,0.16129886100414756,1.628500985210518,0.8443504813985948,0.6916666666666667
2,KernelExplainer,nonlinear,mlp,0.9553382482083459,0.10996527392223385,1.3191350827688206,0.9348667131520491,0.004166666666666667
2,Shapley_MC,nonlinear,mlp,0.9553382482083459,0.14710953338295546,1.3512043155287168,0.9638335338523221,0.0
2,Banzhaf_MC,nonlinear,mlp,0.9553382482083459,0.12436714510913323,1.3513233751995917,0.9632578129201763,0.004166666666666667
2,CEqL,nonlinear,mlp,0.9553382482083459,0.12745368819489167,1.3687436800104735,0.96975024978521,0.7208333333333333
2,CCRA,nonlinear,mlp,0.9553382482083459,0.11757283225004338,1.3211373299080729,0.8856265373538471,0.0
2,Gately,nonlinear,mlp,0.9553382482083459,0.13638143920985715,1.353312273839876,0.9532021342365652,0.0
2,Shapley_Shubik,nonlinear,mlp,0.9553382482083459,0.08326204244764848,1.5755344287236626,0.9193175724632493,0.575
2,Nucleolus,nonlinear,mlp,0.9553382482083459,0.1338144082028331,1.4824241499881865,0.9148645310267034,0.7
0,KernelExplainer,correlated,mlp,0.8770855651812024,0.06610986922232757,1.4842531920357416,0.6915896420959528,0.16666666666666669
0,Shapley_MC,correlated,mlp,0.8770855651812024,0.05164726467155775,1.5202277385870153,0.7190214696797754,0.0
0,Banzhaf_MC,correlated,mlp,0.8770855651812024,0.0522630268881773,1.491767550112686,0.7068556691238335,0.0
0,CEqL,correlated,mlp,0.8770855651812024,0.047859399215955646,1.3032342961458834,0.6379838713837628,0.7333333333333335
0,CCRA,correlated,mlp,0.8770855651812024,0.03838760779612529,1.4157228406734792,0.6536747983111817,0.0
0,Gately,correlated,mlp,0.8770855651812024,0.08677815147001619,1.446199427242531,0.6818496824599866,0.0
0,Shapley_Shubik,correlated,mlp,0.8770855651812024,0.022610710559027726,1.482337038340321,0.7092103276069953,0.5333333333333333
0,Nucleolus,correlated,mlp,0.8770855651812024,0.07869637583917474,1.3110277793502407,0.6604970929023406,0.6944444444444444
1,KernelExplainer,correlated,mlp,0.8856027242418503,0.04865839322579882,1.7871407535649486,0.7219964740445175,0.16666666666666669
1,Shapley_MC,correlated,mlp,0.8856027242418503,0.04830156671550065,1.8173700752286985,0.751604452565609,0.0
1,Banzhaf_MC,correlated,mlp,0.8856027242418503,0.04999977245574046,1.8353688617061394,0.7461789566426799,0.0
1,CEqL,correlated,mlp,0.8856027242418503,0.05170377885902222,1.4207501235406057,0.611998647543461,0.6333333333333333
1,CCRA,correlated,mlp,0.8856027242418503,0.03509265903463943,1.4924676485932913,0.6474721966980269,0.0
1,Gately,correlated,mlp,0.8856027242418503,0.05017975136988777,1.851617808806151,0.7427327903558839,0.0
1,Shapley_Shubik,correlated,mlp,0.8856027242418503,0.02219414092321222,1.5150040103066367,0.6198433257350753,0.49999999999999994
1,Nucleolus,correlated,mlp,0.8856027242418503,0.07246806847019155,1.3170558285797895,0.546672789221138,0.6083333333333333
2,KernelExplainer,correlated,mlp,0.8601913814997819,0.031150872304805267,1.3953688327919038,0.7383540962940376,0.16666666666666669
2,Shapley_MC,correlated,mlp,0.8601913814997819,0.028510558181691133,1.4445463245637078,0.7660615888881158,0.0
2,Banzhaf_MC,correlated,mlp,0.8601913814997819,0.029589234713173106,1.3867848732704293,0.7501172411941833,0.0
2,CEqL,correlated,mlp,0.8601913814997819,0.01979514382739941,1.3414828725559516,0.675642073185402,0.6833333333333331
2,CCRA,correlated,mlp,0.8601913814997819,0.020609341750178235,1.213166443150554,0.6424342497684462,0.0
2,Gately,correlated,mlp,0.8601913814997819,0.031434441951667086,1.4218691144706077,0.7501977257702387,0.0
2,Shapley_Shubik,correlated,mlp,0.8601913814997819,0.012528679732327293,1.4664792241141371,0.7308749504590393,0.4749999999999999
2,Nucleolus,correlated,mlp,0.8601913814997819,0.04057920997806992,1.196748622146655,0.6364556378428842,0.6083333333333332
0,KernelExplainer,interaction,mlp,0.9950929128683986,0.002911946194929639,0.5250394463273107,0.9337078485185689,0.016666666666666663
0,Shapley_MC,interaction,mlp,0.9950929128683986,0.00321610070276396,0.5354777433665522,0.8632919297091463,0.0
0,Banzhaf_MC,interaction,mlp,0.9950929128683986,0.0029611323341930678,0.4837482107222165,0.9126692651377343,0.02666666666666666
0,CEqL,interaction,mlp,0.9950929128683986,0.0031233486959545698,0.49733657466411585,0.933001912459837,0.5766666666666665
0,CCRA,interaction,mlp,0.9950929128683986,0.0030883408281273507,0.5107256929781201,0.7478007170609351,0.0
0,Gately,interaction,mlp,0.9950929128683986,0.00729231449873711,0.5071905034540722,0.9456316132237006,0.0033333333333333327
0,Shapley_Shubik,interaction,mlp,0.9950929128683986,0.003907984568288416,0.5151346192555827,0.8616482746684473,0.33666666666666667
0,Nucleolus,interaction,mlp,0.9950929128683986,0.009813221468000188,0.442618336296987,0.7769392708500612,0.6466666666666666
1,KernelExplainer,interaction,mlp,0.995594557708021,0.004002376632553483,0.4677026318683503,0.9864235574063733,0.0033333333333333327
1,Shapley_MC,interaction,mlp,0.995594557708021,0.0047198896030434135,0.5711151894091553,0.8083124160873079,0.0033333333333333327
1,Banzhaf_MC,interaction,mlp,0.995594557708021,0.004338905553226901,0.45569641359605534,0.8611004678977817,0.019999999999999997
1,CEqL,interaction,mlp,0.995594557708021,0.004553655809767585,0.519373617792557,0.863942307357776,0.4866666666666666
1,CCRA,interaction,mlp,0.995594557708021,0.003712202533453821,0.5182325555605866,0.7373529679320393,0.0
1,Gately,interaction,mlp,0.995594557708021,0.008366463639415499,0.5460282085993389,0.9769642225671438,0.0033333333333333327
1,Shapley_Shubik,interaction,mlp,0.995594557708021,0.005226194337625375,0.39025063675166444,0.7713722485796668,0.5666666666666668
1,Nucleolus,interaction,mlp,0.995594557708021,0.017473552281787867,0.553776228227564,0.841359985337141,0.6833333333333335
2,KernelExplainer,interaction,mlp,0.9952014255791682,0.005110441143734721,0.4925932278676712,0.9704341137854614,0.009999999999999998
2,Shapley_MC,interaction,mlp,0.9952014255791682,0.005661764759103532,0.6583338089714598,0.9390723398487687,0.0
2,Banzhaf_MC,interaction,mlp,0.9952014255791682,0.006035115781044647,0.5125686828747623,0.9728967293803766,0.019999999999999997
2,CEqL,interaction,mlp,0.9952014255791682,0.005319195947481475,0.6119095150409364,0.8893007270175778,0.49333333333333335
2,CCRA,interaction,mlp,0.9952014255791682,0.004123730310379165,0.6030538176470268,0.8363583998261763,0.0
2,Gately,interaction,mlp,0.9952014255791682,0.010315725231898736,0.6376344425471611,0.9749602093040224,0.0
2,Shapley_Shubik,interaction,mlp,0.9952014255791682,0.005235519205712223,0.5367473296446746,0.9213084881988068,0.5233333333333333
2,Nucleolus,interaction,mlp,0.9952014255791682,0.014141353994004518,0.4696744324171251,0.6745532678055997,0.5666666666666665
0,KernelExplainer,mixed,mlp,0.9311963428878058,0.014626531343142124,0.5728267104864956,0.8111694463793063,0.2857142857142857
0,Shapley_MC,mixed,mlp,0.9311963428878058,0.014648574450351975,0.5931517358005823,0.8293064638254802,0.0
0,Banzhaf_MC,mixed,mlp,0.9311963428878058,0.013094042160464482,0.5931517358005823,0.8293064638254802,0.00238095238095238
0,CEqL,mixed,mlp,0.9311963428878058,0.006026354393039413,0.6258097808809908,0.8552557141154451,0.8214285714285713
0,CCRA,mixed,mlp,0.9311963428878058,0.006633792177101693,0.4274912703589857,0.6974703855219089,0.0
0,Gately,mixed,mlp,0.9311963428878058,0.013500889518875089,0.5779333428678005,0.8541338418901075,0.00238095238095238
0,Shapley_Shubik,mixed,mlp,0.9311963428878058,0.00537242851928397,0.6438446937348629,0.9143566089270387,0.30238095238095236
1,KernelExplainer,mixed,mlp,0.9228206272566115,0.013516341582154754,0.6207184352890505,0.8111281369393117,0.2857142857142857
1,Shapley_MC,mixed,mlp,0.9228206272566115,0.01235287919516081,0.6403931146273849,0.8173275328266529,0.0
1,Banzhaf_MC,mixed,mlp,0.9228206272566115,0.011886353222820719,0.6356669790989564,0.8116055245038877,0.00238095238095238
1,CEqL,mixed,mlp,0.9228206272566115,0.004958333009261889,0.8097166923784799,0.8806371622519117,0.8095238095238095
1,CCRA,mixed,mlp,0.9228206272566115,0.005295857049702739,0.7313958353165796,0.8378435301469369,0.0
1,Gately,mixed,mlp,0.9228206272566115,0.012124822321456128,0.6525318616221634,0.7799103027463422,0.0
1,Shapley_Shubik,mixed,mlp,0.9228206272566115,0.004500852124380016,0.8188436812196062,0.9168833741858845,0.3785714285714285
2,KernelExplainer,mixed,mlp,0.9244377144927292,0.0132986782819647,0.6213544877868581,0.8635124749972615,0.2857142857142857
2,Shapley_MC,mixed,mlp,0.9244377144927292,0.012282018898272903,0.6259961632048631,0.8900325063228229,0.0
2,Banzhaf_MC,mixed,mlp,0.9244377144927292,0.012436304404731584,0.6103066317924662,0.8881179324242673,0.00952380952380952
2,CEqL,mixed,mlp,0.9244377144927292,0.00631640105058942,0.7806578651407362,0.8833650412781071,0.8095238095238095
2,CCRA,mixed,mlp,0.9244377144927292,0.006617392063017555,0.6071218956866928,0.7699738968054974,0.0
2,Gately,mixed,mlp,0.9244377144927292,0.012983825126690813,0.5978413826588381,0.8506226766981585,0.0
2,Shapley_Shubik,mixed,mlp,0.9244377144927292,0.006120653972697866,0.7443691362111552,0.8260061754068541,0.40476190476190477
0,KernelExplainer,imbalanced,mlp,0.8279665998317893,0.10740216271215504,1.582608819940157,0.9250449268319703,0.0
0,Shapley_MC,imbalanced,mlp,0.8279665998317893,0.10097298396984701,1.6069958718565969,0.9501935899599719,0.006666666666666665
0,Banzhaf_MC,imbalanced,mlp,0.8279665998317893,0.0981906790337153,1.6083706656040326,0.9456957404662681,0.0033333333333333327
0,CEqL,imbalanced,mlp,0.8279665998317893,0.047738194360142004,1.6183491268601005,0.941307597699279,0.8033333333333332
0,CCRA,imbalanced,mlp,0.8279665998317893,0.054634255774256374,1.2899894877307692,0.7514259264295183,0.0033333333333333327
0,Gately,imbalanced,mlp,0.8279665998317893,0.09810524037196416,1.6052280320336603,0.9558330746889989,0.0
0,Shapley_Shubik,imbalanced,mlp,0.8279665998317893,0.050645013707754545,1.508331346030412,0.7481203685734507,0.4866666666666667
0,Nucleolus,imbalanced,mlp,0.8279665998317893,0.07949135037847468,1.6182252133043946,0.8782892256862795,0.7466666666666666
1,KernelExplainer,imbalanced,mlp,0.8305144977585281,0.11088807403899333,1.3826781230993546,0.8998359736201065,0.0033333333333333327
1,Shapley_MC,imbalanced,mlp,0.8305144977585281,0.10293986133152581,1.3832793688925464,0.9118843296447187,0.0
1,Banzhaf_MC,imbalanced,mlp,0.8305144977585281,0.09846847925179865,1.3671737887526194,0.9105160519511543,0.009999999999999998
1,CEqL,imbalanced,mlp,0.8305144977585281,0.04678474085046723,1.4892502235266258,0.9765987131754164,0.8633333333333334
1,CCRA,imbalanced,mlp,0.8305144977585281,0.048616691106594105,1.0672583454606916,0.7558092027110318,0.0
1,Gately,imbalanced,mlp,0.8305144977585281,0.09811309394140334,1.382494597862776,0.9225142289906271,0.0033333333333333327
1,Shapley_Shubik,imbalanced,mlp,0.8305144977585281,0.04647285730101532,1.6059721934214182,0.8839550125649827,0.5666666666666668
1,Nucleolus,imbalanced,mlp,0.8305144977585281,0.08532421888658935,1.4445728837473182,0.9319496195396443,0.8033333333333333
2,KernelExplainer,imbalanced,mlp,0.8259957574944186,0.07611074442714112,1.8689830121052835,0.9222261235201805,0.0
2,Shapley_MC,imbalanced,mlp,0.8259957574944186,0.07455512884788669,1.9325277287476976,0.9562716239499269,0.0
2,Banzhaf_MC,imbalanced,mlp,0.8259957574944186,0.08153792368032343,1.9204816206723985,0.957002873088234,0.0033333333333333327
2,CEqL,imbalanced,mlp,0.8259957574944186,0.05553827704319938,1.7978227082787948,0.8651494748318256,0.7399999999999998
